党,トウ・なかま・むら,party; faction; clique
届,カイ・とど.ける・~とど.け・とど.く,deliver; reach; arrive; report; notify; forward
巻,カン・ケン・ま.く・まき・ま.き,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls)
燃,ネン・も.える・も.やす・も.す,burn; blaze; glow
跡,セキ・あと,tracks; mark; print; impression
包,ホウ・つつ.む・くる.む,wrap; pack up; cover; conceal
駐,チュウ,stop-over; reside in; resident
弱,ジャク・よわ.い・よわ.る・よわ.まる・よわ.める,weak; frail
紹,ショウ,introduce; inherit; help
雇,コ・やと.う,employ; hire
替,タイ・か.える・か.え~・か.わる,exchange; spare; substitute; per-
預,ヨ・あず.ける・あず.かる,deposit; custody; leave with; entrust to
焼,ショウ・や.く・や.き・や.き~・~や.き・や.ける,bake; burning
簡,カン・ケン・えら.ぶ・ふだ,simplicity; brevity
章,ショウ,badge; chapter; composition; poem; design
臓,ゾウ・はらわた,entrails; viscera; bowels
律,リツ・リチ・レツ,rhythm; law; regulation; gauge; control
贈,ゾウ・ソウ・おく.る,presents; send; give to; award to; confer on; presenting something
照,ショウ・て.る・て.らす・て.れる,illuminate; shine; compare; bashful
薄,ハク・うす.い・うす~・~うす・うす.める・うす.まる・うす.らぐ・うす.ら~・うす.れる・すすき,dilute; thin; weak (tea); pampas grass
群,グン・む.れる・む.れ・むら・むら.がる,flock; group; crowd; herd; swarm; cluster
秒,ビョウ,second (1/60 minute)
奥,オウ・おく・おく.まる・くま,heart; interior
詰,キツ・キチ・つ.める・つ.め・~づ.め・つ.まる・つ.む,packed; close; pressed; reprove; rebuke; blame
双,ソウ・ふた・たぐい・ならぶ・ふたつ,pair; set; comparison; counter for pairs
刺,シ・さ.す・さ.さる・さ.し・さし・とげ,thorn; pierce; stab; prick; sting; calling card
純,ジュン,genuine; purity; innocence; net (profit)
翌,ヨク,the following; next
快,カイ・こころよ.い,cheerful; pleasant; agreeable; comfortable
片,ヘン・かた~・かた,one-sided; leaf; sheet; right-side kata radical (no. 91)
敬,ケイ・キョウ・うやま.う,awe; respect; honor; revere
悩,ノウ・なや.む・なや.ます・なや.ましい・なやみ,trouble; worry; in pain; distress; illness
泉,セン・いずみ,spring; fountain
皮,ヒ・かわ,pelt; skin; hide; leather; skin radical (no. 107)
漁,ギョ・リョウ・あさ.る,fishing; fishery
荒,コウ・あら.い・あら~・あ.れる・あ.らす・~あ.らし・すさ.む,laid waste; rough; rude; wild
貯,チョ・た.める・たくわ.える,savings; store; lay in; keep; wear mustache
硬,コウ・かた.い,stiff; hard
埋,マイ・う.める・う.まる・う.もれる・うず.める・うず.まる・い.ける,bury; be filled up; embedded
柱,チュウ・はしら,pillar; post; cylinder; support
