相,ソウ・ショウ・あい~,inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy
定,テイ・ジョウ・さだ.める・さだ.まる・さだ.か,determine; fix; establish; decide
実,ジツ・シツ・み・みの.る・まこと・みの・みち.る,reality; truth
決,ケツ・き.める・~ぎ.め・き.まる・さ.く,decide; fix; agree upon; appoint
全,ゼン・まった.く・すべ.て,whole; entire; all; complete; fulfill
表,ヒョウ・おもて・~おもて・あらわ.す・あらわ.れる・あら.わす,surface; table; chart; diagram
調,チョウ・しら.べる・しら.べ・ととの.う・ととの.える,tune; tone; meter; key (music); writing style; prepare; exorcise; investigate; harmonize; mediate
化,カ・ケ・ば.ける・ば.かす・ふ.ける・け.する,change; take the form of; influence; enchant; delude; -ization
期,キ・ゴ,period; time; date; term
取,シュ・と.る・と.り・と.り~・とり・~ど.り,take; fetch; take up
都,ト・ツ・みやこ,metropolis; capital; all; everything
和,ワ・オ・カ・やわ.らぐ・やわ.らげる・なご.む・なご.やか・あ.える,harmony; Japanese style; peace; soften; Japan
平,ヘイ・ビョウ・ヒョウ・たい.ら・~だいら・ひら・ひら~,even; flat; peace
受,ジュ・う.ける・~う.け・う.かる,accept; undergo; answer (phone); take; get; catch; receive
進,シン・すす.む・すす.める,advance; proceed; progress; promote
指,シ・ゆび・さ.す・~さ.し,finger; point to; indicate; put into; play (chess); measure (ruler)
予,ヨ・シャ・あらかじ.め,beforehand; previous; myself; I
向,コウ・む.く・む.い・~む.き・む.ける・~む.け・む.かう・む.かい・む.こう・む.こう~・むこ・むか.い,yonder; facing; beyond; confront; defy; tend toward; approach
勝,ショウ・か.つ・~が.ち・まさ.る・すぐ.れる・かつ,victory; win; prevail; excel
面,メン・ベン・おも・おもて・つら,mask; face; features; surface
反,ハン・ホン・タン・ホ・そ.る・そ.らす・かえ.す・かえ.る・~かえ.る,anti-
所,ショ・ところ・~ところ・どころ・とこ,place; extent
次,ジ・シ・つ.ぐ・つぎ,next; order; sequence
係,ケイ・かか.る・かかり・~がかり・かか.わる,person in charge; connection; duty; concern oneself
感,カン,emotion; feeling; sensation
投,トウ・な.げる・~な.げ,throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss
打,ダ・ダアス・う.つ・う.ち~・ぶ.つ,strike; hit; knock; pound; dozen
両,リョウ・てる・ふたつ,"both; old Japanese coin; counter for carriages (e.g., in a train); two"
式,シキ,style; ceremony; rite; function; method; system; form; expression
談,ダン,discuss; talk
流,リュウ・ル・なが.れる・なが.れ・なが.す・~なが.す,current; a sink; flow; forfeit
局,キョク・つぼね,bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment
放,ホウ・はな.す・~っぱな.し・はな.つ・はな.れる・こ.く・ほう.る,set free; release; fire; shoot; emit; banish; liberate
球,キュウ・たま,ball; sphere
役,ヤク・エキ,duty; war; campaign; drafted labor; office; service; role
由,ユ・ユウ・ユイ・よし・よ.る,wherefore; a reason
消,ショウ・き.える・け.す,extinguish; blow out; turn off; neutralize; cancel
神,シン・ジン・かみ・かん~・こう~,gods; mind; soul
配,ハイ・くば.る,distribute; spouse; exile; rationing
育,イク・そだ.つ・そだ.ち・そだ.てる・はぐく.む,bring up; grow up; raise; rear
乗,ジョウ・ショウ・の.る・~の.り・の.せる,ride; power; multiplication; record; counter for vehicles; board; mount; join
想,ソウ・ソ・おも.う,concept; think; idea; thought
助,ジョ・たす.ける・たす.かる・す.ける・すけ,help; rescue; assist
追,ツイ・お.う,chase; drive away; follow; pursue; meanwhile
商,ショウ・あきな.う,make a deal; selling; dealing in; merchant
葉,ヨウ・は,leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece
落,ラク・お.ちる・お.ち・お.とす,fall; drop; come down; village; hamlet
負,フ・ま.ける・ま.かす・お.う,defeat; negative; -; minus; bear; owe; assume a responsibility
守,シュ・ス・まも.る・まも.り・もり・~もり・かみ,guard; protect; defend; obey
美,ビ・ミ・うつく.しい,beauty; beautiful
命,メイ・ミョウ・いのち,fate; command; decree; destiny; life; appoint
福,フク,blessing; fortune; luck; wealth
横,オウ・よこ,sideways; side; horizontal; width; woof; unreasonable; perverse
深,シン・ふか.い・~ぶか.い・ふか.まる・ふか.める・み~,deep; heighten; intensify; strengthen
申,シン・もう.す・もう.し~・さる,have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac
様,ヨウ・ショウ・さま・さん,Esq.; way; manner; situation; polite suffix
港,コウ・みなと,harbor
