爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
岐,キ・ギ,branch off; fork in road; scene; arena; theater
緯,イ・よこいと・ぬき,horizontal; woof; left & right; (parallels of) latitude; prediction
培,バイ・つちか.う,cultivate; foster
衰,スイ・おとろ.える,decline; wane; weaken
艇,テイ,rowboat; small boat
屈,クツ・かが.む・かが.める,yield; bend; flinch; submit
淡,タン・あわ.い,thin; faint; pale; fleeting
抽,チュウ・ひき~,pluck; pull; extract; excel
披,ヒ,expose; open
廷,テイ,courts; imperial court; government office
錦,キン・にしき,brocade; fine dress; honors
准,ジュン,quasi-; semi-; associate
奨,ショウ・ソウ・すす.める,exhort; urge; encourage
浸,シン・ひた.す・ひた.る,immersed; soak; dip; steep; moisten; wet; dunk
